category_name;product_name;product_short_description;product_type;phase_name;visibility;product_website_url;product_documentation_url;public_network;private_network;code_automation;hardware_tenancy;order_possibility;billing_mode;datacenter_avail_bhs;datacenter_avail_gra;datacenter_avail_de;datacenter_avail_rbx;datacenter_avail_sbg;datacenter_avail_waw;datacenter_avail_uk;datacenter_avail_sgp;datacenter_avail_syd;datacenter_avail_hil;datacenter_avail_vin;certif_iso_27001;certif_hds;certif_hipaa;certif_pci_dss;certif_snc;certif_soc1;certif_soc2;universe_baremetal_cloud;universe_private_cloud;universe_public_cloud;universe_web_cloud
network;OVHcloud Connect;Private interconnection to OVHcloud vRack;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/network/ovhcloud-connect/;https://docs.ovh.com/fr/ovhcloud-connect/;unavailable;private_ipv4;TRUE;multi_tenant;worldwide;prepaid;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;TRUE;TRUE;TRUE;FALSE
network;Public Cloud Floating Ips;Additionnal dynamic public IPs for your services;paas;beta;TRUE;#;#;public_ipv4;unavailable;TRUE;multi_tenant;worldwide_except_us;pay_go;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;TRUE;TRUE;TRUE;FALSE
network;Public Cloud Load Balancers;Load Balancer for Public Cloud with pay as you go;paas;beta;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/load-balancer/;#;public_ipv4;private_ipv4;TRUE;multi_tenant;worldwide;pay_go;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
network;Public Cloud Network Gateway;Internet Gateway for Public Cloud Private Networks;paas;beta;TRUE;#;#;public_ipv4;private_ipv4;TRUE;multi_tenant;worldwide_except_us;pay_go;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;;;TRUE;TRUE;TRUE;FALSE
network;VMware NSX-V;Software Define Network solution for VMware Hosted Private Cloud;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/enterprise/products/hosted-private-cloud/nsx-datacenter-vsphere/;https://docs.ovh.com/gb/en/private-cloud/;public_ipv4;private_ipv4;TRUE;single_tenant;worldwide;prepaid;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;FALSE;TRUE;FALSE;FALSE
network;vRack;a L2 private network;iaas;general_avail;TRUE;https://www.ovh.ie/solutions/vrack/;https://docs.ovh.com/fr/network-ip/;unavailable;private_ipv4;TRUE;multi_tenant;worldwide;prepaid;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;;FALSE;FALSE;;;TRUE;TRUE;TRUE;FALSE
storage;Archive Cloud (Swift);Object storage for warm storage to back-up your data;paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/cloud-archive/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;pay_go;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;Archive Cold (S3);Object storage for long-term cold storage to securely archive your data;paas;alpha;TRUE;https://labs.ovh.com/cold-archive;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;pay_go;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;Bare Metal Storage servers ;Dedicated bare metal servers with lot of storage inside;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/bare-metal/storage/;https://docs.ovh.com/fr/dedicated/;public_ipv4 public_ipv6;private_ipv4 private_ipv6;TRUE;single_tenant;worldwide;prepaid;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;;;FALSE;FALSE;;;TRUE;FALSE;FALSE;FALSE
storage;Block Storage;Remote volumes of storage for your VMs in Public Cloud;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/block-storage/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide;pay_go;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;File storage Cloud Disk Array;Managed Block Storage;iaas;general_avail;TRUE;https://www.ovh.com/fr/cloud-disk-array/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;;;TRUE;FALSE;FALSE;FALSE
storage;File Storage Enterprise File Storage;Managed NetApp Ontap file storage;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/storage-solutions/enterprise-file-storage/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;;;TRUE;FALSE;FALSE;FALSE
storage;File Storage NAS-HA;Managed file storage;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/storage-solutions/nas-ha/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;FALSE;multi_tenant;worldwide_except_us;prepaid;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;;;TRUE;FALSE;FALSE;FALSE
storage;Object Storage S3;Object storage based on S3 technology (high and standard Performance);paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/object-storage/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;TRUE;multi_tenant;worldwide_except_us;pay_go;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;Object Storage Swift;Object storage based on Swift technology (standard perfromance);paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/object-storage/;https://docs.ovh.com/fr/storage/;public_ipv4;unavailable;TRUE;multi_tenant;worldwide_except_us;pay_go;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;;FALSE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;Managed Private Registry;Managed Harbor artifact registry ;paas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/public-cloud/managed-private-registry/;https://docs.ovh.com/gb/en/private-registry/;public_ipv4;private_ipv4;TRUE;multi_tenant;worldwide;pay_go;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;TRUE;FALSE;;;FALSE;FALSE;TRUE;FALSE
storage;VMware vSAN;High perf. local storage in a managed VMware for HPC cluster;iaas;general_avail;TRUE;https://www.ovhcloud.com/en-ie/enterprise/products/hosted-private-cloud/;https://docs.ovh.com/gb/en/private-cloud/;public_ipv4;private_ipv4;FALSE;single_tenant;worldwide;prepaid;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;;TRUE;TRUE;;;FALSE;TRUE;FALSE;FALSE
