category_label,category_name,universe_label,universe_name,type,name,short_description,phase_label,phase_name,url_product,url_documentation
analytics,Data Analytics,public_cloud,Public Cloud,product,Data Processing,Apache Spark jobs as a Service,regional_avail,Regional availability,https://www.ovhcloud.com/fr/public-cloud/data-processing/,https://docs.ovh.com
ai,,public_cloud,,category,AI & Machine Learning,Create and use ML models and applications,,,,
ai,AI / Machine Leanring,public_cloud,Public Cloud,product,AI Notebooks,Managed Jupyter or VSCode notebooks,beta,beta,https://www.ovhcloud.com/fr/public-cloud/ai-notebook/,https://docs.ovh.com
ai,AI / Machine Leanring,public_cloud,Public Cloud,product,AI Training,Train your models with CPU and GPU,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/ai-training/,https://docs.ovh.com
ai,AI / Machine Leanring,public_cloud,Public Cloud,product,AI Apps,Deploy your AI dockers with high availability,alpha,alpha,#,https://docs.ovh.com
network,,baremetal_cloud private_cloud public_cloud web_cloud,,category,Network & Connectivity,Network related products,,,,
network,Network & Connectivity,baremetal_cloud private_cloud public_cloud,Baremetal Cloud,product,vRack,a L2 private network,general_avail,General availability,https://www.ovh.com/fr/solutions/vrack/,https://docs.ovh.com
network,Network & Connectivity,baremetal_cloud private_cloud public_cloud,Baremetal Cloud,product,OVHcloud Connect,Private interconnection to OVHcloud vRack,general_avail,General availability,https://www.ovhcloud.com/fr/network-security/ovhcloud-connect/,https://docs.ovh.com
network,Network & Connectivity,private_cloud,Private Cloud,product,NSX Edge Firewall,Edge firewall for HPC VMware,regional_avail,Regional availability,,
network,Network & Connectivity,public_cloud,Public Cloud,product,Floating IPs,Additionnal dynamic public IPs for your services,alpha,alpha,#,https://docs.ovh.com
network,Network & Connectivity,baremetal_cloud private_cloud public_cloud,Baremetal Cloud,product,Load Balancer (IPLB),Load balancer to balance traffic in the cloud,regional_avail,Regional availability,https://www.ovh.com/fr/solutions/load-balancer/,https://docs.ovh.com
